Keyword,Product Name,Price (per Kg),Product URL,Company,Company URL,City,Address,Rating,Phone
Die casting,Gravity Die Casting Parts,310,https://www.indiamart.com/proddetail/gravity-die-casting-parts-1214630548.html?pos=2&kwd=die casting&tags=|PL|||8281.036|Price|product|||LSlc|rsf:pl-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=4,Meta Lab Engineers.,https://www.metalabengineers.co.in/?pos=2&kwd=die casting&tags=|PL|||8281.036|Price|product|||LSlc|rsf:pl-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Vadodara,"42-1, Meta Lab Engineers, GIDC Estate, Makarpura,, Vadodara - 390010, Dist.Vadodara, Gujarat",4.4,8048986432
Die casting,Aluminum Aluminium Pressure Die Casting,335,https://www.indiamart.com/proddetail/aluminium-pressure-die-casting-21862174348.html?pos=3&kwd=die casting&tags=A||||8223.226|Price|product|||SSlc|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=4,Gravity Diecasting Industries,https://www.gravitydiecasting.net/?pos=3&kwd=die casting&tags=A||||8223.226|Price|product|||SSlc|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Thane,"Jaywant Estate, Opposite Roshan Auto, Murbad Road, Kalyan West, Thane - 421301, Dist.Thane, Maharashtra",4.3,8046072952
Die casting,"Gravity Die Castings Aluminium Spray Gun Handle Casting, For Industrial",200,https://www.indiamart.com/proddetail/spray-gun-handle-casting-4492924148.html?pos=4&kwd=die casting&tags=A||||8210.732|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=5,Super Cast Founders & Engineers,https://www.supercast.net/?pos=4&kwd=die casting&tags=A||||8210.732|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Vasai,"Gala 10/19, Oberoi Industrial Estate, Chinchpada, Waliv Road, Vasai - 401208, Dist.Palghar, Maharashtra",5,8048601580
Die casting,Die Casting Service,300,https://www.indiamart.com/proddetail/die-casting-service-2852664538912.html?pos=5&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=4,Jay Khodal Metal,https://www.jaykhodalmetal.com/?pos=5&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Rajkot,"Plot No 7, Ghanshyam Industrial Area, Street No 8, Dhebar Road, Rajkot - 360002, Dist.Rajkot, Gujarat",4,8047690232
Die casting,"Hot Plate Solar Panel Aluminum Die Casting, For Automobile",325,https://www.indiamart.com/proddetail/solar-panel-aluminum-die-casting-21762210312.html?pos=6&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=4,Mak Industries,https://www.makindustries.in/?pos=6&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Rajkot,"R S No.51/1, Plot No.39, Mak Industries, Copper Indl. Area, Behind Sim Agro, Kangashiyali, Rajkot - 360002, Dist.Rajkot, Gujarat",4,8047645812
Die casting,Aluminium Gravity Die Casting,300,https://www.indiamart.com/proddetail/gravity-die-casting-2851620111648.html?pos=8&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=4,Horizon Metal Components,https://www.horizonmetals.in/?pos=8&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Rajkot,"Plot 2/13, B/H Rolwell Forze Pvt Ltd, NR.Pardi PGVCL Kishan Cement Gate, Pardi, Rajkot - 360024, Dist.Rajkot, Gujarat",4.2,7942873681
Die casting,"Gray Zinc Die Cast Products, Packaging Type: Bag",350,https://www.indiamart.com/proddetail/zinc-die-cast-products-2855405410148.html?pos=9&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4|r=4,MG Hardware,https://www.indiamart.com/mg-store-rajkot/?pos=9&kwd=die casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:2307|cat:133|mtp:G|qry_typ:P|lang:en|wc:2|flavl:0-9|cs:7614|v=4,Rajkot,"Plot No 25/B, B/h Petrol Pump, Lothada, Gondal Road, C/o UV Engineering, Lothada, Rajkot - 360020, Dist.Rajkot, Gujarat",4.7,8047621104
Iron casting,"DuctileIronCasting, For Industrial, Packaging Type: Box",135,https://www.indiamart.com/proddetail/ductile-iron-casting-22782274097.html?pos=1&kwd=iron casting&tags=A|PL|||8211.142|Price|product|||SSlc|rsf:pl-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Eagle Industries,https://www.eagleindustry.net/?pos=1&kwd=iron casting&tags=A|PL|||8211.142|Price|product|||SSlc|rsf:pl-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Mumbai,"7, Bombay Wire Complex, I. B. Patel Road, Mumbai - 400063, Dist.Mumbai, Maharashtra",4.4,8046065011
Iron casting,"Aay Ess Powder Coating SGIronDuctileIronCasting, For Industrial",90,https://www.indiamart.com/proddetail/sg-iron-ductile-iron-casting-6755513512.html?pos=2&kwd=iron casting&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Aay Ess Casting,https://www.aayesscastings.com/?pos=2&kwd=iron casting&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Ludhiana,"Plot No. B-XXIX-536/49A, Industrial Area-C, Sua Road, Eastman Chowk, Ludhiana - 141014, Dist.Ludhiana, Punjab",4.3,8048613908
Iron casting,CastIronCI Castings for Industrial,65,https://www.indiamart.com/proddetail/ci-castings-for-industrial-17184632830.html?pos=3&kwd=iron casting&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Sumit Industries,https://www.sumit-industries.com/?pos=3&kwd=iron casting&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Jaipur,",E-784 A,ROAD NO. 13 V.K.I AREA,,, Jaipur - 302013, Dist.Jaipur, Rajasthan",4.1,8046038586
